Brand,Year,Price,Cat
Volvo,2012,40744, B
Ford,2007,38403,A
Honda,2018,93099, B
GMC,2017,51073,A
VW,2014,46771,
Toyota,2000,97010, B
Volvo,2019,72859, B
Tesla,2022,46315, B
Volvo,2003,48109,
Ford,2001,68804, A
VW,2013,49381, B
Nissan,2013,65209, A
Honda,2017,38134, B
Tesla,2011,47726,
Ford,2010,30651, A
Honda,2003,81746, B
Volvo,2021,82735, A
Nissan,2002,62360, B
GMC,2022,25732,O
Toyota,2010,34647, B
VW,2002,71148, B
Tesla,2012,56188, A
GMC,1009,70138, A
Honda,2015,83285, B
GMC,2013,58722, B
GMC,2013,58722, B
Honda,2004,97517, B
,2018,92140, B
VW,2015,58221, B
GMC,2001,23711, A
Ford,2012,34368, A
Nissan,2010,47178, A
Volvo,2021,87538, A
Nissan,2022,78178, A
Honda,2012,71192, A
Ford,1017,40079, B
Volvo,2004,37293, B
Tesla,2000,76132, A
Volvo,2014,25134, B
Tesla,2008,88547, A
Toyota,2005,43362, B
BMW,2009,83025, A
Toyota,2008,29695, A
Tesla,2004,84191, B
Volvo,2009,45894, B
Volvo,2022,97618, A
GMC,2005,32198, B
Toyota,2021,5000, A
Nissan,2014,54770, B
Ford,2005,59547,O
Honda,2007,91594, B
VW,2017,43370, A
Nissan,2018,80502, B
GMC,2004,40537, A
Ford,2018,61586, B
VW,2022,57863, B
VW,2002,-23500,O
Volvo,2002,28906, B
Toyota,2015,39775, B
VW,2022,52834, B
Toyota,2014,20420, A
Honda,2022,68875, B
Nissan,2015,20991, B
VW,2004,69113, A
Ford,2021,88678, A
Honda,2012,50913, B
Nissan,2014,47209, A
GMC,2011,54578, B
Nissan,2015,84944, A
Toyota,2014,97504, A
GMC,2009,27250, B
Tesla,2019,43659, B
Tesla,2005,74426,C
Tesla,2001,56047, B
BMW,2003,41217, B
BMW,2016,40448, B
GMC,2011,67176,O
Volvo,2011,92840, A
Nissan,2013,85121, B
Ford,2018,37375,S
Honda,2014,73134, B
BMW,2008,, A
Nissan,2017,77591, B
Tesla,2022,31926, A
Tesla,2006,83326, B
VW,2002,57560, A
GMC,2009,97643, A
GMC,2014,51757, B
BMW,2009,31726, B
Volvo,2005,33982, A
Nissan,2013,97784, B
Nissan,2019,85905, A
GMC,2009,72173, B
Tesla,2021,84256, B
GMC,2011,33750, B
Honda,2019,48342, A
VW,2008,61371, A
VW,2020,82211, A
Tesla,2021,37426, B
Toyota,2003,49691, A
Volvo,2003,56412, A
Nissan,2019,69510, A
VW,2013,63843, A
Ford,2005,51466, A
Nissan,2006,31802, A
Toyota,2004,45452, B
Honda,2009,57828, B
Nissan,2015,98725, B
Honda,2019,64262, A
Honda,2018,92420, B
GMC,2017,69792, A
Honda,2002,41593, A
Tesla,2010,52405, A
Ford,2009,62990,S
Nissan,2006,21449, B
Volvo,2003,85544, B
BMW,2007,44983, A
Volvo,2007,47804, A
Tesla,2021,96135, B
Volvo,2003,40167, B
Toyota,2005,77842, B
Toyota,2012,76351, B
VW,2007,36460, A
BMW,2005,77724, A
GMC,2009,71405, A
Honda,2022,66779, A
Toyota,2016,39110, B
Volvo,2000,36876, A
VW,2003,92983, A
BMW,2012,60910, B
BMW,2005,61125, B
Honda,2005,39772, B
Toyota,2017,59015, B
VW,2022,46208, A
BMW,2002,87923, B
Honda,2015,22630, A
Nissan,2006,47169, A
Toyota,2008,70377, A
Ford,2007,23756, B
VW,2012,45258, A
Toyota,2012,30076, B
Nissan,2016,95058, B
Toyota,2014,41116, A
GMC,2020,95621, A
Tesla,2004,20114, B
Volvo,2007,48736, B
Nissan,2016,27317, A
Volvo,2019,53956, A
Ford,2013,99832, A
Honda,2018,47991, A
Volvo,2002,69461, A
BMW,2022,72906, B
BMW,2016,74689, A
GMC,2006,88058, A
Nissan,2012,97837, A
Ford,2008,48188, A
Toyota,2011,38126, B
Ford,2015,90839, B
Toyota,2009,94402, B
Nissan,2014,81095, A
Nissan,2022,47156, B
Nissan,2022,47156, B
Honda,2004,52583, B
Honda,2020,34765, A
Honda,2022,34546, B
Volvo,2014,77986, A
Tesla,2014,38508, B
VW,2008,77171, B
Volvo,2003,46019, A
Volvo,2011,57241, B
Honda,2009,23267, A
VW,2005,80491, B
BMW,2021,47123, B
VW,2014,37230, A
Nissan,2021,74569, B
Honda,2021,27356, A
VW,2000,86591,O
Tesla,2013,97694, B
Honda,2003,79776, B
Ford,2007,25826, A
GMC,2018,51395, B
BMW,2008,66535, A
BMW,2003,94627, B
Ford,2011,54181, A
Ford,2012,49133, B
Nissan,2002,70146, A
Volvo,2009,48208, B
GMC,2010,64057, B
Honda,2021,42202, B
Toyota,2017,57471, B
Ford,2001,37253,V
Volvo,2005,62525, A
GMC,2002,53611, A
Nissan,2013,41440, B
GMC,2002,97235, A
Honda,2021,89704, A
Volvo,2010,69027, A
GMC,2004,43849, B
Toyota,2011,37264, A
Tesla,2020,35093, A
